FrameNo,Row,Column,Angle
582,202.9148936,978.7911025,-1.369602066
583,205.5707376,977.2116082,-1.56572349
584,206.3329298,976.5460048,-1.470741578
585,206.6185319,976.5282792,-1.390364846
586,207.2488038,976.145933,-1.34605941
587,207.6058752,975.9681763,-1.255822804
588,208.1766139,975.4750305,-1.19269145
589,208.4188235,975.1717647,-1.140201661
590,209.0347722,974.7158273,-1.08174856
591,209.5399061,974.3873239,-1.062670575
592,210.0767357,974.1851401,-0.941583169
593,210.3882488,973.7407834,-0.952295307
594,211.0166667,973.7119048,-0.885399992
595,211.4321133,973.2491145,-0.844379777
596,211.9195678,972.6278511,-0.826296803
597,212.5041518,972.6417556,-0.78381925
598,212.8301887,972.1591981,-0.782420698
599,213.1781473,971.628266,-0.750569572
600,213.5283237,971.6786127,-0.718756826
601,214.083908,971.2298851,-0.721914986
602,215.0035294,970.8635294,-0.676266864
603,215.427896,970.8014184,-0.662124176
604,215.6709452,970.3033839,-0.644670508
605,216.2135231,969.8671412,-0.635890897
606,216.6915663,969.5879518,-0.62273356
607,217.0929678,969.5017878,-0.595708306
608,217.6380298,969.395189,-0.584899293
609,218.513285,968.986715,-0.570387984
610,218.5433255,968.5679157,-0.567395639
611,219.2906287,968.311981,-0.549149321
612,219.6903614,968.0301205,-0.526103823
613,220.2852071,967.7680473,-0.524046305
614,220.7772338,967.4822521,-0.507536396
615,221.0882002,967.0822408,-0.495502413
616,221.6200241,966.7913148,-0.493376564
617,222.3457249,966.8079306,-0.480951374
618,222.7883663,966.3675743,-0.46783556
619,223.0945946,965.7407862,-0.456635006
620,223.7475,965.89,-0.455107509
621,224.4387634,965.9583829,-0.44685691
622,224.7992611,965.6243842,-0.435855921
623,225.2,964.945122,-0.423999221
624,225.9455006,965.0621039,-0.414984439
625,226.6695761,965.2394015,-0.407635755
626,226.9615385,964.825641,-0.399827659
627,227.3013871,964.4010088,-0.393048383
628,227.8178392,964.611809,-0.388802582
629,228.230179,963.9296675,-0.376728262
630,228.8887484,964.5790139,-0.378745429
631,229.4230769,963.5717949,-0.365236226
632,229.8617571,963.6369509,-0.363836508
633,230.4161074,963.2147651,-0.362149134
634,230.8926702,963.434555,-0.348293928
635,231.2895086,962.9774236,-0.352241628
636,232.0864865,963.3283784,-0.337783491
637,232.2493261,962.4622642,-0.338968622
638,232.8121547,962.6947514,-0.331041778
639,233.4073569,962.4918256,-0.329478715
640,234.3019391,963.2091413,-0.325085229
641,234.4447514,962.6657459,-0.317705307
642,235.1337127,962.3826458,-0.316937548
643,235.5572626,962.5977654,-0.314365594
644,235.6695157,961.5270655,-0.314086434
645,236.4806313,962.2022956,-0.303836867
646,236.6890157,961.4507846,-0.310971391
647,237.602719,962.4909366,-0.293962347
648,237.852187,961.7239819,-0.28528082
649,238.1490593,961.7670043,-0.292779647
650,238.9289026,962.1004637,-0.287512061
651,239.6620584,962.1735791,-0.287456672
652,240.1166407,961.777605,-0.281623697
653,240.4597156,962.2654028,-0.276389991
654,241.0786164,962.1415094,-0.277791517
655,241.3166667,961.7621212,-0.277996526
656,242.1138614,962.6419142,-0.268689414
657,242.504902,961.6029412,-0.259672956
658,243.184514,962.7990115,-0.264186609
659,243.6288998,962.7881773,-0.256124894
660,244.3429054,963.3597973,-0.261669397
661,244.5827586,963.0672414,-0.255287984
662,245.2517483,962.506993,-0.249442926
663,246.0231317,963.6120996,-0.255458241
664,246.2625899,963.2104317,-0.255280996
665,246.795053,963.3233216,-0.25089816
666,247.1160221,963.2044199,-0.24855819
667,247.7651246,964.0516014,-0.247226409
668,248.1522158,963.5645472,-0.242867283
669,248.5724771,963.5944954,-0.244581404
670,249.2612967,964.3418468,-0.235520114
671,249.6712329,964.4833659,-0.233959676
672,250.2429719,964.3975904,-0.233419262
673,250.4375,964.2784091,-0.239085526
674,251.4744094,965.5334646,-0.223300035
675,251.3268859,964.1528046,-0.235023587
676,252.3038229,965.3501006,-0.226273125
677,252.7274678,965.6824034,-0.219191342
678,253.2474012,965.968815,-0.213737093
679,253.4425532,965.3510638,-0.219774513
680,254.3070362,966.6034115,-0.212547019
681,254.4460888,966.2917548,-0.222151759
682,255.222467,966.2665198,-0.21947872
683,255.6513158,966.6359649,-0.221401297
684,256.2906977,967.2093023,-0.21714524
685,256.8741866,967.659436,-0.204904457
686,256.8896104,966.1688312,-0.208846998
687,257.647343,967.1835749,-0.210036882
688,258.2327189,968.3617512,-0.20495501
689,258.556701,967.8762887,-0.209340369
690,259.1775701,968.8504673,-0.208066719
691,259.375,968.0906863,-0.211307674
692,259.7423168,967.9716312,-0.209429564
693,260.4209246,968.4768856,-0.202089866
694,260.8329298,969.1476998,-0.211285588
695,261.4273973,969.0520548,-0.204781873
696,261.7512077,969.5676329,-0.200296172
697,262.3561644,969.6684932,-0.207311277
698,262.5102564,969.9410256,-0.201735165
699,263.1517413,970.4850746,-0.210492635
700,263.4387755,970.0688776,-0.214413514
701,264.08933,970.5980149,-0.209503767
702,264.4554974,970.1492147,-0.215518462
703,265.1222222,970.8527778,-0.209721754
704,265.4631043,971.1806616,-0.217250718
705,265.8983516,970.8626374,-0.218980638
706,266.4330484,971.4131054,-0.213398759
707,266.7694301,972.1528497,-0.227320722
708,266.9765013,971.8198433,-0.21792265
709,267.5179487,972.4435897,-0.232598916
710,267.8686869,971.719697,-0.239195759
711,268.7908163,973.5867347,-0.234236885
712,268.9744898,972.755102,-0.242160358
713,265.96875,955.8125,0.003620144
714,269.3943299,972.2474227,-0.24110391
715,270.1863517,973.8031496,-0.235886058
716,270.5470738,973.9363868,-0.243396043
717,267.6428571,958.5285714,0.214746564
718,269.5257143,966.48,-0.205966908
719,271.5759804,973.8553922,-0.230307756
720,277.1746032,987.8412698,-0.090565052
721,271.0171429,968.0171429,-0.228426773
722,272.813602,974.4508816,-0.303912937
723,278.5223881,986.9850746,-0.115397284
724,272.2781457,968.397351,-0.20337499
725,274.1666667,975.8776042,-0.281432791
726,274.3678161,968.1609195,-0.342969199
727,273.299435,970.5084746,-0.124019508
728,275.4726776,976.7677596,-0.292441645
729,275.8068783,977.3280423,-0.301243579
730,277.184466,975.7572816,-0.375946273
731,276.9453782,976.487395,-0.38619077
732,277.2402089,978.4255875,-0.28159684
733,277.872428,977.1728395,-0.407013637
734,278.3162393,977.1923077,-0.389006319
735,277.7939698,979.4522613,-0.228430743
736,279.6595745,976.8351064,-0.425809873
737,279.875,977.9490741,-0.418210405
738,280.8439306,978.283237,-0.50535982
739,280.7880184,978,-0.418303468
740,281.2325581,978.372093,-0.40810469
741,281.6410256,978.8,-0.324190035
742,286.8709677,982.8870968,-0.061751852
743,287.2142857,982.2714286,-0.048202209
744,283.0547264,979.0199005,-0.341029075
745,283.258216,979.2253521,-0.097864817
746,283.647619,979.9333333,-2.44E-05
747,286.0206897,978.2,-0.497005459
748,284.1853147,982.3006993,0.248364898
749,289.9620253,981.3037975,-0.024118152
750,287.3692308,978.2384615,-0.554990339
751,284.7377892,985.5269923,0.353913219
752,288.3571429,978.0952381,-0.637340281
753,288.7851852,978.6518519,-0.687717128
754,285.7919799,986.7568922,0.368738314
755,287.5308057,983.6777251,0.388182696
756,290.5669291,978.7480315,-0.565199644
757,289.7454545,982.1636364,0.124907073
758,287.2224939,988.4621027,0.392588229
759,290.6009615,982.0961538,0.157862505
760,288.1407407,988.8320988,0.357801338
761,292.5461538,979.1615385,-0.07118989
