FrameNo,Row,Column,Angle
553,230.7900943,959.9292453,-0.360489303
554,232.9285714,962.6623377,-0.307126517
555,230.8637993,957.421147,-0.351137625
556,233.2289157,960.5060241,-0.332171257
557,233.4722222,960.8305556,-0.351486403
558,237.8047337,965.9289941,-0.308147775
559,235.6491228,962.3263158,-0.315771103
560,238.0461538,964.1333333,-0.31169248
561,234.4028103,957.9133489,-0.333805773
562,238.4097561,962.302439,-0.320483905
563,234.1904762,955.1552028,-0.326320107
564,235.4439462,956.2152466,-0.327811693
565,235.2733813,954.7338129,-0.328758856
566,235.7536496,954.3868613,-0.325016045
567,236.353902,954.6297641,-0.320240237
568,236.7576854,954.5117541,-0.313860176
569,236.9119266,953.5449541,-0.312383544
570,238.206089,954.9063232,-0.318889456
571,238.1040146,953.5529197,-0.309707441
572,239.2911695,955.1384248,-0.3175996
573,239.2310536,953.4750462,-0.316920599
574,240.4381188,955.4653465,-0.318124266
575,240.0465116,953.3042636,-0.310484093
576,240.3522936,952.9577982,-0.310446118
577,241.4698795,954.0361446,-0.311609665
578,242.4779221,955.3558442,-0.316308353
579,241.9281437,952.748503,-0.311879805
580,242.0685714,952.1219048,-0.310895243
581,243.519685,954.0498688,-0.313189202
582,242.9882353,951.3901961,-0.308932379
583,244.5772358,954.1490515,-0.316424482
584,243.6805556,951.0019841,-0.305880981
585,244.0968992,950.6976744,-0.307500832
586,245.3828125,951.9869792,-0.313301433
587,244.9882122,950.3752456,-0.304772102
588,246.0371353,950.994695,-0.315565944
589,245.7734375,949.4667969,-0.308607888
590,246.0755467,948.9244533,-0.309331894
591,246.7256098,949.2093496,-0.305736954
592,247.7568306,950.1338798,-0.316327218
593,247.1408451,947.6579477,-0.307331269
594,247.8151093,948.3240557,-0.304642501
595,247.9284294,947.1093439,-0.309777779
596,248.4263736,946.6197802,-0.311258439
597,249.158046,946.9511494,-0.318319535
598,250.0029326,948.0909091,-0.318503961
599,249.24,945.15,-0.307713066
600,249.6741573,944.4966292,-0.313230039
601,250.3105469,945.421875,-0.313688435
602,250.0527473,942.8945055,-0.317189759
603,250.6666667,943.2342342,-0.316032166
604,251.0659794,943.1484536,-0.316714119
605,251.5816555,943.0939597,-0.319092229
606,251.7414966,942.3106576,-0.318961232
607,252.2270916,942.7589641,-0.318453763
608,252.5775862,942.1508621,-0.320586417
609,252.8886414,941.8040089,-0.324710739
610,253.1636771,941.0964126,-0.322522449
611,253.6203091,941.0993377,-0.324904792
612,254.0746667,940.9573333,-0.332491856
