Trial,Cutoff,Avg Vel,Ang Vel
s-g01-t01-data.csv, , , 
s-g01-t02-data.csv,2626,1.369578431356635,139.14135826089904
s-g01-t03-data.csv,0,0.7009328961510349,119.2857650633603
s-g02-t01-data.csv,1858,2.0554071685705653,139.24384548115697
s-g02-t02-data.csv, , , 
s-g02-t03-data.csv, , , 
s-g03-t01-data.csv,1643,1.328394728430222,158.82007772567334
s-g03-t02-data.csv,1659,1.2879703225791101,168.0630190785942
s-g03-t03-data.csv,0,1.2532381209069983,121.75065463401884
s-g04-t01-data.csv,3048,1.0857318915775693,154.8625153449642
s-g04-t02-data.csv,1658,1.3415023641909531,138.69954955671446
s-g04-t03-data.csv,0,1.436106602728505,124.63641242124976
s-g05-t01-data.csv,4020,1.3131763225003645,162.7491898531212
s-g05-t02-data.csv,2255,1.3326737946715697,125.68767298992641
s-g05-t03-data.csv,0,1.341897262193539,140.49751185018658
s-g06-t01-data.csv,2589,1.1963728116580559,143.77501933533614
s-g06-t02-data.csv,1007,1.2316270645236378,141.4024313041037
s-g06-t03-data.csv,0,1.4821698267157575,144.3801855721215
s-g07-t01-data.csv,1116,1.361222176123906,131.0887445950273
s-g07-t02-data.csv, , , 
s-g07-t03-data.csv,0,1.1743410461114203,132.1268024857647
s-g08-t01-data.csv,1082,1.31058247892261,130.66786090534225
s-g08-t02-data.csv,3614,1.2457128137054647,138.34721149133264
s-g08-t03-data.csv,0,1.2398878234659778,119.75123588347053
s-g09-t01-data.csv,7222,1.4442085451729691,155.06484807790747
s-g09-t02-data.csv,1911,1.3820224094419251,126.14808754906814
s-g09-t03-data.csv,0,1.3073690478020168,114.98070077926045
s-g10-t01-data.csv,1686,1.3376989548329068,148.46629847401408
s-g10-t02-data.csv,749,1.2718289521315227,144.57540000887678
s-g10-t03-data.csv,0,1.2818645997857947,119.30739081896009
s-g11-t01-data.csv, , , 
s-g11-t02-data.csv,3892,1.4182648620384777,169.87964514603885
s-g11-t03-data.csv,0,1.4149475370692175,138.06779098871152
s-g12-t01-data.csv,8098,1.5457310706516623,201.5238687307681
s-g12-t02-data.csv,1022,1.3055526878741484,159.77795296985593
s-g12-t03-data.csv,0,1.451005565663615,130.6371233127472
s-g13-t01-data.csv,6875,2.0557007812911117,157.84030170020966
s-g13-t02-data.csv,6173,2.0246102394169387,154.01472199825997
s-g13-t03-data.csv,0,1.4645353117502908,126.8635417509433
s-g14-t01-data.csv,3341,1.41517747232756,162.58578508874444
s-g14-t02-data.csv,8344,1.8413827073965536,nan
s-g14-t03-data.csv,0,1.5044165200872879,152.10862022497412
s-g15-t01-data.csv,5715,1.4360453649143223,128.04402654097515
s-g15-t02-data.csv,5123,1.547849463474315,130.2438415275351
s-g15-t03-data.csv,0,1.3864489969850986,117.18637713151116
s-g16-t01-data.csv,0,0.7734659778479129,139.06604662806302
s-g16-t02-data.csv,3478,1.3023899348168162,142.74992572637905
s-g16-t03-data.csv,0,1.254066975982038,115.177370416759
s-g17-t01-data.csv,3488,1.4426633467031127,152.38847692367347
s-g17-t02-data.csv,3840,1.3012298081021565,159.66805364689776
s-g17-t03-data.csv,0,1.5238109602209355,140.77446786113003
s-g18-t01-data.csv, , , 
s-g18-t02-data.csv,3506,1.4296712975791643,133.57161603178366
s-g18-t03-data.csv,0,1.2530081217592992,116.54463347483725
s-g19-t01-data.csv, , , 
s-g19-t02-data.csv,2125,1.7076121671172628,112.63907395024506
s-g19-t03-data.csv,1433,1.4186310571950826,183.73238862337763
s-g20-t01-data.csv,0,1.4209825915543615,134.07244973192067
s-g20-t02-data.csv,3402,1.4264810171130105,161.3180583567146
s-g20-t03-data.csv,0,1.557339791446013,110.22878544807993
s-g21-t01-data.csv,5100,1.362782917250799,134.9149753705657
s-g21-t02-data.csv, , , 
s-g21-t03-data.csv,0,0.9067769750653808,120.03388982410094
s-g22-t02-data.csv,1487,1.2477798464784111,139.19657501576725
s-g22-t03-data.csv,0,1.2227187558927402,131.18778922962443
s-g23-t01-data.csv,678,1.3674947893118548,152.33682958499563
s-g23-t02-data.csv,2158,1.528189216976006,153.8680503406353
s-g23-t03-data.csv,0,1.4333936471994067,135.73828129381124
s-g24-t01-data.csv,5541,1.3059164524603588,142.36669858753726
s-g24-t02-data.csv,8356,1.6947257287785993,nan
s-g24-t03-data.csv,0,1.461996733451524,116.85150115197645
s-g25-t01-data.csv,1696,1.3606600394792903,127.00001851508225
s-g25-t02-data.csv,1975,1.3413909722828181,128.7786582676659
s-g25-t03-data.csv,0,1.35908366382949,115.51403257344577
s-g26-t01-data.csv,5005,1.3954351444145108,121.48845920671839
s-g26-t02-data.csv,5846,1.4698230069379257,133.47651171761663
s-g26-t03-data.csv,0,1.3177125092313795,110.35613773970229
s-g27-t01-data.csv, , , 
s-g27-t02-data.csv,1467,1.2195429184345397,146.76569292420368
s-g27-t03-data.csv,0,0.6035927642770544,129.8722475632791
s-g28-t01-data.csv, , , 
s-g28-t02-data.csv,4350,1.2778741625899288,172.76125956180687
s-g28-t03-data.csv,0,1.2948793057257897,130.92205289436777
s-g29-t01-data.csv,1309,1.3072352828038833,137.8468771375761
s-g29-t02-data.csv,441,1.3345862630231329,136.46992993880616
s-g29-t03-data.csv,0,1.3727809527191264,139.47966051522198
s-g30-t01-data.csv, , , 
s-g30-t02-data.csv,6742,1.3375678570826446,146.4515851920053
s-g30-t03-data.csv,0,1.3831065320474092,117.34007279478165
