Trial,Cutoff,Avg Vel,Ang Vel
n-g01-t01-data.csv,1877,1.1661784634163914,109.98531297811847
n-g01-t02-data.csv,1874,1.159498787171451,110.51366551176167
n-g01-t03-data.csv,3681,0.925761143491334,119.52824562663042
n-g02-t01-data.csv,2998,1.6430652165053319,65.26247053631468
n-g02-t02-data.csv, , , 
n-g02-t03-data.csv,0,1.4660373198079764,119.34556649455685
n-g03-t01-data.csv,1644,1.406461545412566,89.31800459272878
n-g03-t02-data.csv, , ,105.55158479077821
n-g03-t03-data.csv,0,1.3519734721760284,81.68954699367687
n-g04-t01-data.csv,1375,1.0496201134659309,98.36498737117542
n-g04-t02-data.csv,1200,1.108862925038136,98.15346592482956
n-g04-t03-data.csv,0,1.2837328351663633,83.38874525154836
n-g05-t01-data.csv,2692,1.626312612351344,94.25517466565209
n-g05-t02-data.csv,5425,1.4963158202258346,99.7679828057435
n-g05-t03-data.csv,0,1.280327775525043,82.76876920123584
n-g06-t01-data.csv,4640,1.628414418930395,100.51447889173281
n-g06-t02-data.csv,4347,1.4676284442394512,100.03741100351967
n-g06-t03-data.csv,0,1.5146010983195286,94.05316414952262
n-g07-t01-data.csv, , ,76.84755990445507
n-g07-t02-data.csv, , ,1167.5553552158765
n-g07-t03-data.csv,0,1.1522317526563126,87.53127117588114
n-g08-t01-data.csv,1058,1.1668220716208126,92.8758985677085
n-g08-t02-data.csv,241,1.1716347057314265,85.35229342077841
n-g08-t03-data.csv,0,1.1221950837221042,81.41127564964984
n-g11-t01-data.csv,1419,1.1856275291726404,107.86813866177704
n-g11-t02-data.csv,8158,1.166327105622656, 
n-g11-t03-data.csv,0,1.230844218185773,90.93373207248678
n-g12-t01-data.csv,1000,0.9183740068140668,106.76841206623139
n-g12-t02-data.csv,4947,1.4702127280540802,97.5199499039768
n-g12-t03-data.csv,0,1.3173599748049856,82.38929167903724
n-g13-t01-data.csv,1947,1.2782526535968757,94.50125732761846
n-g13-t02-data.csv,4381,1.2680392845895938,104.86950043648133
n-g13-t03-data.csv,0,1.290328526700733,85.04103891005248
n-g14-t01-data.csv, , , 
n-g14-t02-data.csv, , , 
n-g14-t03-data.csv,0,0.8421325945640339,76.58374371525451
n-g15-t01-data.csv,227,1.1782211860103753,86.5645463032261
n-g15-t02-data.csv,0,1.241761319620145,86.491922060215
n-g15-t03-data.csv,0,1.158245080288183,80.19432386319158
n-g16-t01-data.csv, , , 
n-g16-t02-data.csv,2611,1.2960500230357155,97.61986800963975
n-g16-t03-data.csv,2327,1.0857181587095939,105.28028833464549
n-g17-t01-data.csv, , , 
n-g17-t02-data.csv, , ,50.376523419148654
n-g17-t03-data.csv,0,1.1872133592138292,83.08120652027796
n-g18-t01-data.csv,5558,1.4149675418620002,101.19038742156297
n-g18-t02-data.csv,6023,1.4743742154687494,100.69749494551823
n-g18-t03-data.csv,0,1.4798693244429424,83.84123661375583
n-g19-t01-data.csv,3985,1.312954191208238,96.28500699178929
n-g19-t02-data.csv,8391,1.9167594984108922, 
n-g19-t03-data.csv,0,1.3938997495138024,80.36323968237292
n-g20-t01-data.csv,1150,1.1496069708425922,93.94277562906312
n-g20-t02-data.csv, , , 
n-g20-t03-data.csv,0,1.1548774980950098,85.34199444055548
n-g21-t01-data.csv, , , 
n-g21-t02-data.csv, , , 
n-g21-t03-data.csv,0,1.2492884999785867,80.3212977574304
n-g22-t01-data.csv, , , 
n-g22-t02-data.csv,2231,1.3611514604652815,104.9221877501241
n-g22-t03-data.csv,0,1.22642596158009,92.49811078968764
n-g23-t01-data.csv,1519,0.9427560156708461,100.58330028677311
n-g23-t02-data.csv,877,1.1329130163520544,84.41218554678807
n-g23-t03-data.csv,0,1.1970603949794216,124.5740370560091
n-g24-t01-data.csv,2546,1.280801564761974,97.11413680065638
n-g24-t02-data.csv,7672,2.0843732377330095, 
n-g24-t03-data.csv,0,1.5886501777394444,109.61404173743337
n-g25-t01-data.csv,5482,1.1006278975227604,125.80348779669919
n-g25-t02-data.csv, , , 
n-g25-t03-data.csv,0,1.3006162783750725,90.0550716155134
n-g26-t01-data.csv,5887,1.3533502277922556,97.69418907403796
n-g26-t02-data.csv,573,1.4843368228711007,78.8663557063056
n-g26-t03-data.csv,0,1.4145095573700082,67.45460867983824
n-g27-t01-data.csv,6852,0.8972321239909083,100.54608855895712
n-g27-t02-data.csv,2063,1.2983006536670727,80.6727309208276
n-g27-t03-data.csv,0,1.253133776861054,71.71927382947237
n-g28-t01-data.csv,3322,1.3312739918931054,84.63065923956178
n-g28-t02-data.csv,2419,1.3386406651114466,82.68589500860568
n-g28-t03-data.csv,0,1.431722742648504,74.54056364354453
n-g29-t01-data.csv,5115,1.259866244079399,90.31632333092588
n-g29-t02-data.csv,1788,1.3825857267666959,82.13782765984736
n-g29-t03-data.csv,2215,1.3618949125867998,150.83747926986126
n-g30-t01-data.csv,2347,1.4299672926994662,91.31100394052815
n-g30-t02-data.csv,4774,1.4177144927510563,96.94027415086596
n-g30-t03-data.csv,0,1.1767384092325042,99.38014262037588
