FrameNo,Row,Column,Angle
42,20.836363636363636,835.3272727272728,-1.3878934186727414
43,22.634545454545453,835.0,-1.3947732346100665
44,24.949820788530467,835.1200716845879,-1.3850669816593992
45,26.84375,835.0147058823529,-1.3878193340420795
46,28.749097472924188,835.0541516245487,-1.3791732901216684
47,30.954212454212453,835.0695970695971,-1.3734600713560041
48,33.027027027027025,835.1153153153153,-1.372751400492941
49,35.0573476702509,835.0967741935484,-1.3716927540546329
50,36.825311942959004,835.048128342246,-1.3652175043918022
51,39.06727272727273,835.0454545454545,-1.3619045268692365
52,41.098566308243726,835.084229390681,-1.36145433004799
53,43.220035778175315,835.0733452593918,-1.360495283154162
54,45.31760435571688,835.0508166969147,-1.3571364621194468
55,47.403914590747334,835.0960854092526,-1.3559530000416324
56,49.75636363636364,835.1527272727272,-1.355996271307129
57,51.42934782608695,835.0307971014493,-1.351869164067452
58,53.950367647058826,835.0863970588235,-1.3481037029573726
59,55.9889705882353,835.0753676470588,-1.3470014657976774
60,58.1985294117647,835.0772058823529,-1.342961637698701
61,60.21763602251407,835.0562851782364,-1.3390906305794978
62,62.45656192236599,835.1977818853974,-1.3304332961716367
63,64.55639097744361,835.1936090225564,-1.3287103197501329
64,66.62430939226519,835.1675874769797,-1.3271242018379823
65,68.80890538033395,835.2411873840446,-1.3244533308449171
66,70.70718232044199,835.2136279926335,-1.327495035462771
67,72.89385474860335,835.2234636871508,-1.3174918460263645
68,75.09398496240601,835.2706766917294,-1.3156928535243002
69,77.37996219281663,835.289224952741,-1.3170188808165146
70,79.31226053639847,835.2777777777778,-1.3084424156344379
71,81.76015473887814,835.3094777562862,-1.307127844356449
72,83.73333333333333,835.36,-1.3051759316587683
73,85.24961240310077,835.3643410852713,-1.313835022719057
74,88.07170542635659,835.3507751937984,-1.2953815816198635
75,89.69984447900467,835.5909797822706,-1.2970300809147706
76,92.23882896764253,835.5855161787365,-1.2938074123040277
77,93.83229813664596,835.6164596273292,-1.2960919507960982
78,96.01430842607313,835.6009538950716,-1.298687021737252
79,98.3861852433281,835.6106750392464,-1.2913970216714012
80,100.35303265940902,835.5349922239502,-1.292411426210803
81,102.3203125,835.6859375,-1.2949053453406003
82,104.81570512820512,835.6474358974359,-1.2909358389796841
83,107.19547657512116,835.6526655896607,-1.2858427493853621
84,108.80650406504066,835.5219512195122,-1.2845315572916833
85,111.25750394944708,835.4265402843602,-1.280714904433973
86,113.16447368421052,835.6019736842105,-1.2830260774271478
87,115.53104575163398,835.5898692810457,-1.2657832732679182
88,117.59934853420195,835.6270358306189,-1.2730574061987001
89,119.90492359932088,835.6502546689304,-1.2733875468477496
90,121.95121951219512,835.7268292682927,-1.2781044609513477
91,123.69586776859504,835.5537190082645,-1.2563844436134624
92,126.03384094754654,835.7343485617597,-1.2645469606458346
93,128.76020408163265,835.8775510204082,-1.2690793410379546
94,130.73825503355704,836.1023489932886,-1.2674087848855096
95,133.12541806020067,836.1387959866221,-1.249277252265835
96,135.61262798634812,836.2116040955632,-1.2362792269842293
97,137.515625,836.0729166666666,-1.2343945274921972
98,139.817094017094,836.1777777777778,-1.243171032124951
99,141.62455516014234,836.0640569395018,-1.2491064462640271
100,143.49552772808585,836.0035778175313,-1.2381745531308714
101,146.3705035971223,836.341726618705,-1.2406040065606696
102,148.43652173913046,836.2539130434783,-1.2442168867136147
103,150.51666666666665,836.2888888888889,-1.241589492639893
104,152.7571942446043,836.2338129496403,-1.2348277310221043
105,154.76155268022183,836.2107208872459,-1.2429671828078848
106,157.25842696629212,836.183520599251,-1.2362610371975549
107,159.75984990619136,836.5234521575985,-1.2316264053096884
108,161.6416819012797,836.3418647166362,-1.240158254444301
109,164.05653021442495,836.578947368421,-1.2266529561074706
110,165.55172413793105,836.4559386973181,-1.2329619322215897
111,167.95069033530572,836.7633136094674,-1.2358190057105116
112,170.55533596837944,836.7154150197629,-1.2282558939938215
113,172.3777777777778,836.7838383838384,-1.2259231879290116
114,175.14889336016097,837.020120724346,-1.2281592502942424
115,177.43975903614458,837.0943775100402,-1.217723138065707
116,179.6369168356998,837.1359026369169,-1.226554424260104
117,181.63958333333335,837.2291666666666,-1.2262096550472767
118,184.14933837429112,837.2854442344045,-1.2190099593676458
119,185.84713375796179,837.2101910828026,-1.2326592916847734
120,188.80084745762713,837.5762711864406,-1.2336555783182153
121,190.5763440860215,837.4881720430108,-1.215201944243335
122,192.99343544857769,837.5470459518599,-1.239911812813733
123,195.4049773755656,837.683257918552,-1.2343509395291428
124,197.88028169014086,837.9577464788732,-1.2248678507649886
125,199.6418269230769,837.8365384615385,-1.2308335429785955
126,201.79383886255926,837.9620853080569,-1.2331512714097537
127,204.20383693045562,838.3956834532374,-1.2280521408579552
128,206.10280373831776,837.9976635514018,-1.2310462724940985
129,208.3493670886076,838.0708860759494,-1.2329249436130663
130,212.01985111662532,838.8709677419355,-1.225101960280551
131,213.24552429667517,838.5805626598466,-1.2483320572704673
132,215.06297229219143,838.8060453400503,-1.2530264197436345
133,218.0710659898477,838.9796954314721,-1.2358546328411053
134,220.7662721893491,839.0621301775147,-1.2479436147942826
135,223.26073619631902,839.3006134969326,-1.2470000000930381
136,225.440625,839.415625,-1.2519267431424002
137,227.10693641618496,839.4017341040462,-1.2397209380819398
138,229.2123076923077,839.5507692307692,-1.2503030623821947
139,232.44839857651246,839.9074733096086,-1.2564912189686752
140,235.16319444444446,840.2083333333334,-1.254999260069984
141,238.15530303030303,840.5416666666666,-1.2667584343189706
142,240.32167832167832,840.8181818181818,-1.2530692903847092
143,243.78991596638656,841.1428571428571,-1.2650625940983766
144,247.65116279069767,841.7581395348838,-1.2704379341805836
145,249.23853211009174,841.7660550458716,-1.2685999514133572
146,252.66298342541438,842.2375690607735,-1.2863859586955544
147,251.84518828451883,841.4267782426779,-1.2855341195204641
148,255.10810810810813,841.8873873873874,-1.2870147446819935
149,255.11742424242425,841.4280303030303,-1.298372461715059
150,256.76950354609926,841.3368794326241,-1.3051167645586568
151,259.4375,841.75,-1.2995567744107193
152,260.60185185185185,841.6543209876543,-1.3167735432567313
153,263.5921052631579,841.9407894736842,-1.320160844479764
154,265.9881305637982,842.2729970326409,-1.3219956839040001
155,267.36647727272725,842.1107954545455,-1.3277250316753273
156,269.5597826086956,842.3505434782609,-1.324064259319989
157,271.25257731958766,842.4149484536083,-1.3378089638953432
158,274.3641160949868,842.8311345646438,-1.333347298650653
159,276.96500000000003,843.09,-1.3533907209988512
160,278.38071065989845,842.9568527918782,-1.3669595339839453
161,280.19647355163727,843.1813602015113,-1.3684003421037179
162,282.49427917620136,843.3272311212814,-1.3685688829630076
163,284.6192771084337,843.821686746988,-1.380833809153904
164,286.919621749409,843.8959810874704,-1.3868435981907077
165,289.381974248927,844.5150214592275,-1.4002796174636178
166,291.6328293736501,844.511879049676,-1.4083892361479387
167,293.31807780320366,844.6292906178489,-1.422598488891223
168,294.95948827292113,844.8528784648188,-1.4178161605061201
169,298.1563169164882,845.0107066381156,-1.4331286767661846
170,300.3781512605042,845.4264705882352,-1.431030300657123
171,302.2444444444444,845.4866666666667,-1.4571952142699407
172,304.20321931589535,845.9235412474849,-1.461688242391817
173,307.07630522088357,846.0240963855422,-1.466110029687769
174,308.3232931726908,846.2469879518072,-1.5000243774053026
175,311.47117296222666,846.5805168986084,-1.4978274264932838
176,313.37854251012146,847.0344129554655,-1.5048310898957116
177,315.4561403508772,847.1715399610137,-1.5251609560836283
178,317.30534351145036,847.8034351145038,-1.5576404076627688
179,319.97920604914935,847.8601134215501,-1.562267201881729
180,323.1009009009009,848.1621621621622,-1.5634638678505908
181,324.67354596622886,848.4446529080675,-1.5626010364081462
182,327.2079566003617,848.620253164557,1.5443117366172392
183,329.1185840707965,849.1646017699115,1.5475140863492063
184,331.84412470023983,849.4124700239809,1.5022345367227836
185,333.87441860465117,849.660465116279,1.4887947149865612
186,338.28871391076115,850.3595800524935,1.4031363483731196
187,339.04683840749414,850.4590163934427,1.4359977356167197
188,340.28547579298834,850.7896494156928,1.4538848895960013
189,342.8285714285714,851.0527472527473,1.4191812244244257
190,345.353579175705,851.4360086767896,1.3996542167288646
191,347.55128205128204,851.758547008547,1.3775893998363535
192,349.3372483221476,852.3875838926175,1.3639017299098908
193,351.50830564784053,852.4784053156146,1.3397878899364608
194,353.77759197324417,852.9264214046823,1.3524260365508287
195,356.4989648033126,853.2070393374742,1.313295661947635
196,358.42508143322476,853.71335504886,1.3059772168512118
197,361.2597137014315,853.8527607361963,1.2764997509343723
198,363.2033613445378,854.3798319327731,1.2728537627697845
199,365.31378763866877,854.6703645007924,1.2478786004330689
200,367.37179487179486,855.0833333333334,1.2319564913106493
201,370.3096026490066,855.1937086092715,1.2255470454094335
202,372.30971993410213,855.7907742998352,1.2118549895385187
203,374.95615514333895,856.0961214165261,1.1860948958032809
204,377.0429042904291,856.2821782178218,1.172746082077056
205,379.46362098138746,856.8054145516074,1.156367692037204
206,381.94127516778525,857.010067114094,1.1541286051339223
207,384.43322475570034,857.4918566775244,1.1469810055233214
208,387.07931570762054,857.8118195956454,1.1280117440578286
209,388.87919463087246,857.989932885906,1.0964945264460124
210,391.281045751634,858.4030501089325,1.0641633867461961
211,393.1318493150685,858.570205479452,1.0613714616091587
212,395.31703204047216,859.2411467116358,1.052761160640964
213,397.8994708994709,859.4215167548501,1.0403810952717596
214,399.6471571906354,859.690635451505,1.0430330107281487
215,402.85519591141394,859.8040885860306,1.0223800122672089
216,404.69779286926996,860.0322580645161,1.010953328561115
217,407.38908450704224,860.5845070422536,0.9992134412791207
218,409.4896907216495,860.5481099656357,1.0038429939639277
219,411.97610294117646,860.7352941176471,0.9805539109525915
220,422.6223404255319,855.9308510638298,0.7995252818752987
