FrameNo,Row,Column,Angle
603,363.9015152,928.2992424,-0.114082933
604,364.6365217,928.3182609,-0.107728677
605,365.4666667,929.4282828,-0.105244599
606,366.1592742,929.8931452,-0.104214428
607,367.0165631,930.5590062,-0.105343525
608,367.6882129,929.6749049,-0.097525843
609,368.1844106,929.608365,-0.104097566
610,369.0940919,931.4376368,-0.099181023
611,370.1035294,932.9388235,-0.093478351
612,370.6237219,932.4826176,-0.098294827
613,371.4768856,933.9829684,-0.091393795
614,372.1259259,934.0395062,-0.091490182
615,373.0421348,936.6544944,-0.083760239
616,373.7945205,936.8246575,-0.088041211
617,373.9087221,931.801217,-0.096068795
618,375.0084746,936.7514124,-0.089207071
619,375.7551724,936.9,-0.086925341
620,376.2619048,934.3809524,-0.091844679
621,377.3492647,939.0551471,-0.096107861
622,377.4301994,933.8176638,-0.099752814
623,378.1407186,933.8083832,-0.102098673
624,378.9018405,935.1196319,-0.101489511
625,379.5544554,935.5676568,-0.098471251
626,380.0733945,934.4495413,-0.104282438
627,382,945.3097826,-0.097232166
628,382.3478261,942.7536232,-0.112156052
629,382.0236486,935.472973,-0.123900176
630,382.787234,935.5815603,-0.129549421
631,383.3861386,935.7128713,-0.13208114
632,384.0926641,936.8571429,-0.142280657
633,386.3115942,945.5869565,-0.080005605
634,385.3784861,936.8605578,-0.14027825
635,385.9127273,937.5672727,-0.15636999
636,386.8,938.1518519,-0.170458324
637,387.4101382,938.3179724,-0.177430345
638,388.1607843,937.7411765,-0.205019176
639,388.4956897,937.8405172,-0.20159448
640,389.2070707,938.6767677,-0.22694787
641,390.5547445,941.4525547,-0.159767296
642,390.4814815,939.6944444,-0.171715777
643,390.9308756,940.8248848,-0.132446264
644,391.57277,941.6948357,0.087824942
645,392.2723005,942.2018779,0.183370384
646,392.9454545,942.5045455,0.178554501
647,393.8078603,943.7379913,0.177018658
648,394.398374,944.0162602,0.197494459
649,395.2239382,944.5521236,0.207659017
650,395.712766,945.4929078,0.201577528
651,396.2435424,946.0885609,0.193816722
652,396.9270833,946.5555556,0.199337812
653,397.589172,946.7261146,0.204001199
654,398.104918,947.3803279,0.170566862
655,398.8157895,947.7960526,0.185815285
656,399.3795181,948.6144578,0.181894432
657,400.03125,948.671875,0.175486856
658,400.7567568,949.0930931,0.157174898
659,401.4363144,949.097561,0.156678596
660,402.0405405,949.5162162,0.16382994
661,402.8181818,949.7869318,0.151801511
662,403.4407216,950.3737113,0.152312484
663,404.0645161,950.7617866,0.153831204
664,404.6595174,950.7211796,0.143119818
665,405.2511521,951.0023041,0.140340363
666,406.0381679,950.9720102,0.151628301
667,406.7450495,951.2574257,0.152578846
668,407.3316953,951.6388206,0.145380286
669,407.9559902,951.6870416,0.143299041
670,408.5151515,951.8813131,0.143051303
671,409.0721154,952.6009615,0.14237293
672,409.8278302,951.7311321,0.145586589
673,410.7061611,951.0947867,0.143953236
674,411.4146341,950.5902439,0.141069557
675,412.1887755,949.7857143,0.140947984
676,412.6682927,950.6536585,0.144272264
677,413.5476673,948.7768763,0.142699886
678,413.9768421,950.5684211,0.14180887
679,414.9445844,948.1763224,0.142780646
680,415.4572864,949.1658291,0.145386665
681,416.2315036,948.5298329,0.144713597
682,416.8171296,949.1574074,0.157745456
683,417.2437358,950.1822323,0.155550619
684,417.6489607,951.2909931,0.15978794
685,418.1410256,952.2799145,0.159667443
686,418.7094017,952.5726496,0.166613456
687,419.1918977,952.9275053,0.170742285
688,419.9392789,952.7267552,0.169920719
689,420.4363257,952.9227557,0.178548121
690,421.1717791,952.5235174,0.178549648
691,421.5872093,952.9786822,0.178340741
692,422.3396226,952.5702306,0.18595491
693,423.1425993,952.2454874,0.191306813
694,423.5167286,952.2936803,0.191688348
695,424.1073446,952.5706215,0.203001479
696,424.6754221,951.6116323,0.201061712
697,425.3925781,951.8671875,0.202971236
698,426.2811918,951.0819367,0.216506612
699,426.5282258,951.8427419,0.213597637
700,427.2428571,951.5244898,0.221046994
701,428.0550098,950.8212181,0.238971166
702,428.3881188,951.0059406,0.244287465
703,429.1137725,951.3632735,0.248643344
704,429.8657025,950.661157,0.265522593
705,430.5574113,950.1377871,0.278203791
706,431.0977131,949.9022869,0.275897325
707,431.699784,949.362851,0.293408373
708,432.3768737,948.8222698,0.302847484
709,432.8552632,948.8684211,0.31149141
710,433.5619266,948.5022936,0.333939371
711,434.3798627,947.7688787,0.345339653
712,434.7546729,947.9135514,0.361712807
713,435.3179612,947.3228155,0.379439478
714,436.2106538,946.598063,0.412252632
715,436.509901,946.4306931,0.45157772
716,437.1638554,945.9879518,0.467137958
717,437.819797,945.3908629,0.468326695
718,438.7552632,944.5921053,0.560357088
719,439.2741514,944.151436,0.557772942
720,439.5704698,943.442953,0.628627583
721,440.3475936,943.197861,0.622292334
722,441.0309278,941.8419244,0.321148282
723,441.7201365,941.0921502,-0.190093168
724,442.527027,940.3162162,-0.405031885
725,442.9945799,939.5501355,-0.470717687
726,443.6520619,939.0360825,-0.5139239
727,444.6072607,938.1485149,-0.42562381
728,445.2253886,937.2202073,-0.405578711
729,445.855643,936.4461942,-0.392548365
730,446.9150327,936.4183007,-0.359905626
731,447.5377644,935.5075529,-0.342431595
732,448.3354839,935.1903226,-0.308169312
733,448.9195046,934.3498452,-0.310496772
734,449.7699681,934.0319489,-0.270301298
735,450.2422222,932.4933333,-0.267916902
736,451.0985507,932.7565217,-0.254698079
737,452.0389222,932.9341317,-0.235243007
738,452.6402266,932.4334278,-0.228157638
739,453.408046,932.3936782,-0.221827536
740,453.8294118,930.6,-0.2213779
741,454.4824017,930.1697723,-0.204731271
742,455.5013405,931.1072386,-0.193647325
743,455.7222222,928.8214286,-0.18759332
744,456.4183865,928.8555347,-0.194914729
745,457.4604743,929.5158103,-0.180868169
746,458.1117534,928.4759152,-0.170010579
747,458.7360308,928.256262,-0.166630507
748,459.5908142,928.4217119,-0.157517039
749,460.3763441,928.9182796,-0.156251831
750,461.0958333,929.4354167,-0.147897728
751,461.8503788,928.8522727,-0.155999029
752,462.3825364,928.4178794,-0.144149647
753,463.097561,928.1181989,-0.15125698
754,463.8609865,929.0358744,-0.134374048
755,464.5932914,928.1027254,-0.134812993
756,465.2156863,928.2178649,-0.134346404
757,465.9977974,929.3215859,-0.131167127
758,466.7762864,929.8724832,-0.129753609
759,467.7676056,931.6455399,-0.124400966
760,468.3664303,931.2576832,-0.122713116
761,469.1908046,931.8689655,-0.122967632
762,469.9411765,933.0539216,-0.121009152
763,470.4525862,932.3448276,-0.116344088
764,471.4673629,934.3577023,-0.125166241
765,472.1226667,934.5413333,-0.124800407
766,472.5144231,932.2620192,-0.118661187
767,472.9810875,930.4822695,-0.127857221
768,474.2062147,934.9548023,-0.12578353
769,474.9466292,935.5280899,-0.122446556
770,475.8717949,937.8782051,-0.12778102
771,475.6324582,930.7804296,-0.129299706
772,476.4175532,931.8191489,-0.131326613
773,476.8902439,930.604878,-0.135465494
774,477.5087282,930.6957606,-0.138720533
775,478.4149485,932.5876289,-0.134654553
776,478.9578947,931.8710526,-0.141344874
777,480.8834586,940.5263158,-0.157613534
778,481.5641026,940.6446886,-0.152868366
779,481.2103659,933.9878049,-0.151537715
780,482.4880546,938.1638225,-0.156362673
781,482.6149068,935.1987578,-0.159545069
782,483.6594982,937.4587814,-0.169716794
783,485.0384615,941.3418803,-0.187135657
784,485.7142857,942.0882353,-0.188867103
785,486.2576419,941.419214,-0.192546152
786,487.1036036,941.3963964,-0.208939732
787,486.9148148,937.737037,-0.207106652
788,488.0540541,940.7702703,-0.23262217
789,489.3191489,942.5319149,-0.26121207
790,487.9455128,934.9423077,-0.242474797
791,490.5517241,942.8563218,-0.267717469
792,488.7063953,934.7238372,-0.291508397
793,489.8039216,935.9117647,-0.286887013
794,492.7106918,942.5345912,-0.243687622
795,491.4041667,937.4833333,-0.340813355
796,491.6225806,936.6322581,-0.314965219
797,492.375,937.6523438,-0.356111292
798,492.955102,938.3714286,-0.430086483
799,493.675,938.3642857,-0.41617347
800,494.1725352,939.2288732,-0.325966553
801,494.7657993,939.9851301,-0.166017174
802,495.4754717,940.6415094,0.038411581
803,496.0109489,941.620438,0.203334867
804,496.7483444,942.4370861,0.316751745
805,497.5079872,943.1373802,0.313164597
806,498.1128527,943.6394984,0.326141786
807,498.9886364,944.2083333,0.326026843
808,499.96997,944.2042042,0.345517323
809,500.3478261,944.9768116,0.295047407
810,500.8847458,946.1525424,0.276983982
811,501.5580737,946.203966,0.263155175
812,502.3507853,946.6910995,0.242283479
813,502.7526316,947.9263158,0.244959978
814,503.7032419,947.9052369,0.221841644
815,504.2117347,948.4821429,0.215386452
816,504.8496241,949.1503759,0.20027813
817,505.5391924,949.3254157,0.1998267
818,506.3822844,949.8717949,0.199088368
819,506.97669,949.5757576,0.191066194
820,507.7342342,949.972973,0.179763784
821,508.2988235,950.2494118,0.175652582
822,508.95962,951.0617577,0.166705086
823,509.6862302,951.0790068,0.171621862
824,510.448037,951.1685912,0.168080441
825,511.0894118,951.5976471,0.157894168
826,511.6794055,952.2441614,0.150768451
827,512.4721604,952.1091314,0.157115958
828,513.1561772,952.1538462,0.151162922
829,513.849537,952.0069444,0.149051201
830,514.5972222,952.2916667,0.153085284
831,515.6804124,949.5335052,0.137735418
832,516.1595238,951.3690476,0.141493698
833,516.9243119,950.7155963,0.142289913
834,517.5632458,950.646778,0.131906602
835,518.3967136,949.7676056,0.134041798
836,519.0387409,949.653753,0.13442248
837,519.8184143,948.4040921,0.131089934
838,520.4407583,948.985782,0.130295399
839,521.2335766,948.5766423,0.133966252
840,521.7270471,948.325062,0.126725961
841,522.4192771,948.5686747,0.132291973
842,522.9462617,949.4369159,0.134707461
843,523.1688889,951.9111111,0.131824111
844,523.844098,951.8930958,0.142172016
845,524.5704846,951.9735683,0.141272735
846,525.3398268,950.7857143,0.145146556
847,525.5992063,952.8948413,0.143861844
848,526.3577586,952.3060345,0.146063365
849,526.9587852,952.3882863,0.143214508
850,527.7704918,951.4795082,0.143515446
851,528.427957,951.7956989,0.155513486
852,529.0360721,951.1923848,0.153411342
853,529.6487603,951.5289256,0.155867703
854,530.296875,951.0892857,0.161304669
855,530.9716599,951.5020243,0.161746885
856,531.7835052,950.8494845,0.17052087
857,532.1882845,951.6778243,0.170676662
858,532.5940171,951.9230769,0.17303578
